dataset,task,n_instances,n_features,n_classes,target_column,source,file
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,binary,1600,20,2,target,PMLB,data/processed/GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1.csv
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,binary,1600,20,2,target,PMLB,data/processed/GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1.csv
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,binary,1600,20,2,target,PMLB,data/processed/GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1.csv
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,binary,1600,20,2,target,PMLB,data/processed/GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001.csv
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,binary,1600,20,2,target,PMLB,data/processed/GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001.csv
analcatdata_boxing1,binary,120,3,2,target,PMLB,data/processed/analcatdata_boxing1.csv
analcatdata_boxing2,binary,132,3,2,target,PMLB,data/processed/analcatdata_boxing2.csv
analcatdata_creditscore,binary,100,6,2,target,PMLB,data/processed/analcatdata_creditscore.csv
analcatdata_dmft,multiclass,797,4,6,target,PMLB,data/processed/analcatdata_dmft.csv
analcatdata_germangss,multiclass,400,5,4,target,PMLB,data/processed/analcatdata_germangss.csv
balance_scale,multiclass,625,4,3,target,PMLB,data/processed/balance_scale.csv
calendarDOW,multiclass,399,32,5,target,PMLB,data/processed/calendarDOW.csv
car_evaluation,multiclass,1728,6,4,target,PMLB,data/processed/car_evaluation.csv
cars,multiclass,392,8,3,target,PMLB,data/processed/cars.csv
cloud,multiclass,108,7,4,target,PMLB,data/processed/cloud.csv
1027_ESL,regression,488,4,0,target,PMLB,data/processed/1027_ESL.csv
1028_SWD,regression,1000,10,0,target,PMLB,data/processed/1028_SWD.csv
1029_LEV,regression,1000,4,0,target,PMLB,data/processed/1029_LEV.csv
1030_ERA,regression,1000,4,0,target,PMLB,data/processed/1030_ERA.csv
210_cloud,regression,108,5,0,target,PMLB,data/processed/210_cloud.csv
