dataset,task,algorithm,fold,metric,score,mean_score
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,binary,RandomForest,0,accuracy,0.621875,0.603125
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,binary,RandomForest,1,accuracy,0.565625,0.603125
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,binary,RandomForest,2,accuracy,0.628125,0.603125
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,binary,RandomForest,3,accuracy,0.61875,0.603125
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,binary,RandomForest,4,accuracy,0.58125,0.603125
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,binary,GradientBoosting,0,accuracy,0.5,0.5981249999999999
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,binary,GradientBoosting,1,accuracy,0.575,0.5981249999999999
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,binary,GradientBoosting,2,accuracy,0.603125,0.5981249999999999
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,binary,GradientBoosting,3,accuracy,0.653125,0.5981249999999999
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,binary,GradientBoosting,4,accuracy,0.659375,0.5981249999999999
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,binary,SVM,0,accuracy,0.565625,0.57875
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,binary,SVM,1,accuracy,0.54375,0.57875
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,binary,SVM,2,accuracy,0.56875,0.57875
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,binary,SVM,3,accuracy,0.634375,0.57875
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,binary,SVM,4,accuracy,0.58125,0.57875
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,binary,kNN,0,accuracy,0.534375,0.538125
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,binary,kNN,1,accuracy,0.503125,0.538125
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,binary,kNN,2,accuracy,0.540625,0.538125
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,binary,kNN,3,accuracy,0.5875,0.538125
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,binary,kNN,4,accuracy,0.525,0.538125
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,binary,NeuralNetwork,0,accuracy,0.559375,0.5549999999999999
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,binary,NeuralNetwork,1,accuracy,0.54375,0.5549999999999999
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,binary,NeuralNetwork,2,accuracy,0.553125,0.5549999999999999
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,binary,NeuralNetwork,3,accuracy,0.565625,0.5549999999999999
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,binary,NeuralNetwork,4,accuracy,0.553125,0.5549999999999999
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,binary,RandomForest,0,accuracy,0.675,0.690625
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,binary,RandomForest,1,accuracy,0.70625,0.690625
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,binary,RandomForest,2,accuracy,0.684375,0.690625
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,binary,RandomForest,3,accuracy,0.709375,0.690625
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,binary,RandomForest,4,accuracy,0.678125,0.690625
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,binary,GradientBoosting,0,accuracy,0.725,0.660625
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,binary,GradientBoosting,1,accuracy,0.646875,0.660625
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,binary,GradientBoosting,2,accuracy,0.625,0.660625
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,binary,GradientBoosting,3,accuracy,0.784375,0.660625
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,binary,GradientBoosting,4,accuracy,0.521875,0.660625
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,binary,SVM,0,accuracy,0.65625,0.669375
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,binary,SVM,1,accuracy,0.678125,0.669375
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,binary,SVM,2,accuracy,0.703125,0.669375
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,binary,SVM,3,accuracy,0.6625,0.669375
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,binary,SVM,4,accuracy,0.646875,0.669375
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,binary,kNN,0,accuracy,0.590625,0.599375
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,binary,kNN,1,accuracy,0.640625,0.599375
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,binary,kNN,2,accuracy,0.628125,0.599375
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,binary,kNN,3,accuracy,0.584375,0.599375
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,binary,kNN,4,accuracy,0.553125,0.599375
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,binary,NeuralNetwork,0,accuracy,0.6875,0.663125
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,binary,NeuralNetwork,1,accuracy,0.671875,0.663125
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,binary,NeuralNetwork,2,accuracy,0.6875,0.663125
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,binary,NeuralNetwork,3,accuracy,0.65625,0.663125
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,binary,NeuralNetwork,4,accuracy,0.6125,0.663125
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,binary,RandomForest,0,accuracy,0.559375,0.5418749999999999
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,binary,RandomForest,1,accuracy,0.54375,0.5418749999999999
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,binary,RandomForest,2,accuracy,0.5375,0.5418749999999999
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,binary,RandomForest,3,accuracy,0.51875,0.5418749999999999
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,binary,RandomForest,4,accuracy,0.55,0.5418749999999999
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,binary,GradientBoosting,0,accuracy,0.50625,0.510625
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,binary,GradientBoosting,1,accuracy,0.51875,0.510625
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,binary,GradientBoosting,2,accuracy,0.503125,0.510625
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,binary,GradientBoosting,3,accuracy,0.5,0.510625
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,binary,GradientBoosting,4,accuracy,0.525,0.510625
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,binary,SVM,0,accuracy,0.54375,0.52125
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,binary,SVM,1,accuracy,0.5375,0.52125
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,binary,SVM,2,accuracy,0.5,0.52125
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,binary,SVM,3,accuracy,0.503125,0.52125
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,binary,SVM,4,accuracy,0.521875,0.52125
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,binary,kNN,0,accuracy,0.559375,0.53875
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,binary,kNN,1,accuracy,0.5125,0.53875
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,binary,kNN,2,accuracy,0.528125,0.53875
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,binary,kNN,3,accuracy,0.528125,0.53875
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,binary,kNN,4,accuracy,0.565625,0.53875
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,binary,NeuralNetwork,0,accuracy,0.553125,0.5275000000000001
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,binary,NeuralNetwork,1,accuracy,0.51875,0.5275000000000001
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,binary,NeuralNetwork,2,accuracy,0.5125,0.5275000000000001
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,binary,NeuralNetwork,3,accuracy,0.525,0.5275000000000001
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,binary,NeuralNetwork,4,accuracy,0.528125,0.5275000000000001
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,binary,RandomForest,0,accuracy,0.64375,0.631875
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,binary,RandomForest,1,accuracy,0.653125,0.631875
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,binary,RandomForest,2,accuracy,0.596875,0.631875
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,binary,RandomForest,3,accuracy,0.628125,0.631875
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,binary,RandomForest,4,accuracy,0.6375,0.631875
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,binary,GradientBoosting,0,accuracy,0.678125,0.6725000000000001
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,binary,GradientBoosting,1,accuracy,0.703125,0.6725000000000001
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,binary,GradientBoosting,2,accuracy,0.675,0.6725000000000001
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,binary,GradientBoosting,3,accuracy,0.66875,0.6725000000000001
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,binary,GradientBoosting,4,accuracy,0.6375,0.6725000000000001
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,binary,SVM,0,accuracy,0.640625,0.6337499999999999
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,binary,SVM,1,accuracy,0.665625,0.6337499999999999
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,binary,SVM,2,accuracy,0.60625,0.6337499999999999
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,binary,SVM,3,accuracy,0.63125,0.6337499999999999
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,binary,SVM,4,accuracy,0.625,0.6337499999999999
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,binary,kNN,0,accuracy,0.49375,0.5487500000000001
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,binary,kNN,1,accuracy,0.565625,0.5487500000000001
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,binary,kNN,2,accuracy,0.578125,0.5487500000000001
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,binary,kNN,3,accuracy,0.546875,0.5487500000000001
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,binary,kNN,4,accuracy,0.559375,0.5487500000000001
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,binary,NeuralNetwork,0,accuracy,0.578125,0.6168750000000001
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,binary,NeuralNetwork,1,accuracy,0.640625,0.6168750000000001
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,binary,NeuralNetwork,2,accuracy,0.625,0.6168750000000001
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,binary,NeuralNetwork,3,accuracy,0.609375,0.6168750000000001
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,binary,NeuralNetwork,4,accuracy,0.63125,0.6168750000000001
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,binary,RandomForest,0,accuracy,0.621875,0.648125
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,binary,RandomForest,1,accuracy,0.678125,0.648125
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,binary,RandomForest,2,accuracy,0.65625,0.648125
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,binary,RandomForest,3,accuracy,0.6125,0.648125
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,binary,RandomForest,4,accuracy,0.671875,0.648125
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,binary,GradientBoosting,0,accuracy,0.69375,0.6875
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,binary,GradientBoosting,1,accuracy,0.68125,0.6875
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,binary,GradientBoosting,2,accuracy,0.690625,0.6875
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,binary,GradientBoosting,3,accuracy,0.665625,0.6875
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,binary,GradientBoosting,4,accuracy,0.70625,0.6875
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,binary,SVM,0,accuracy,0.709375,0.663125
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,binary,SVM,1,accuracy,0.66875,0.663125
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,binary,SVM,2,accuracy,0.653125,0.663125
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,binary,SVM,3,accuracy,0.625,0.663125
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,binary,SVM,4,accuracy,0.659375,0.663125
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,binary,kNN,0,accuracy,0.603125,0.589375
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,binary,kNN,1,accuracy,0.565625,0.589375
