dataset,task,n_instances,n_features,log_n_instances,log_n_features,feature_to_instance_ratio,n_classes,class_imbalance_ratio,normalised_class_entropy,mean_feature_std,mean_abs_coef_variation,mean_skewness,mean_kurtosis,mean_abs_feature_correlation
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,binary,1600.0,20.0,3.2041199826559246,1.3010299956639813,0.0125,2.0,1.0,1.0,0.578570779669298,1.3938070694218954,0.962878374799887,0.4733528986725527,0.020243140501796063
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,binary,1600.0,20.0,3.2041199826559246,1.3010299956639813,0.0125,2.0,1.0,1.0,0.5488226265826357,1.8611285689422175,1.4546248589598985,4.077101492929594,0.02158629669954591
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,binary,1600.0,20.0,3.2041199826559246,1.3010299956639813,0.0125,2.0,1.0,1.0,0.5497961710146428,1.5653912205398157,1.1985076299712984,1.0130580096242716,0.020138543275497547
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,binary,1600.0,20.0,3.2041199826559246,1.3010299956639813,0.0125,2.0,1.0,1.0,0.5279967377674507,1.802731440034788,1.4287801203514834,2.86324659179473,0.020227677396814
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,binary,1600.0,20.0,3.2041199826559246,1.3010299956639813,0.0125,2.0,1.0,1.0,0.5763524870258674,1.5848178539751037,1.1488125841956014,2.69030127195412,0.020325654097724483
analcatdata_boxing1,binary,120.0,3.0,2.0791812460476247,0.47712125471966244,0.025,2.0,1.8571428571428572,0.9340680553754911,2.2608638074330867,0.8989649915666553,0.29095718698132356,-1.2263736263736258,0.06331143136646557
analcatdata_boxing2,binary,132.0,3.0,2.12057393120585,0.47712125471966244,0.022727272727272728,2.0,1.1639344262295082,0.9958560657511164,2.353230653706055,0.9321778994776407,0.34020690871988585,-1.1317055167055166,0.17213259316477392
analcatdata_creditscore,binary,100.0,6.0,2.0,0.7781512503836436,0.06,2.0,2.7037037037037037,0.8414646362081756,50.647163904884565,1.7928577882572385,2.410571375354864,8.458371258827041,0.1492028230694764
analcatdata_dmft,multiclass,797.0,4.0,2.9014583213961123,0.6020599913279624,0.005018820577164366,6.0,1.2601626016260163,0.9981805179234929,1.3723483456287968,0.8000944826548047,0.05182591390631505,-1.1502745797494283,0.15909570404875564
analcatdata_germangss,multiclass,400.0,5.0,2.6020599913279625,0.6989700043360189,0.0125,4.0,1.0,1.0,6.76331160119597,0.8801524838379976,0.6419454448557868,1.034554058267989,0.04892174549488764
balance_scale,multiclass,625.0,4.0,2.7958800173440754,0.6020599913279624,0.0064,3.0,5.877551020408164,0.8316387585459217,1.4142135623730951,0.47140452079103173,0.0,-1.3000000000000005,0.0
calendarDOW,multiclass,399.0,32.0,2.6009728956867484,1.505149978319906,0.08020050125313283,5.0,2.1818181818181817,0.9804032695256198,4.222243941772364,0.4416699417579759,-1.28979920642444,2.2283852719240893,0.2522055493186733
car_evaluation,multiclass,1728.0,6.0,3.2375437381428744,0.7781512503836436,0.003472222222222222,4.0,18.615384615384617,0.6028704850060875,0.9672652848388106,0.7809262867138281,0.0,-1.4300000000000004,0.0
cars,multiclass,392.0,8.0,2.593286067020457,0.9030899869919435,0.02040816326530612,3.0,3.6029411764705883,0.8378229049223799,126.96912505943064,0.33168808047648907,0.4859654762839668,-0.5702506667185493,0.5354875169852072
cloud,multiclass,108.0,7.0,2.03342375548695,0.8450980400142568,0.06481481481481481,4.0,1.3333333333333333,0.9946468165806769,9.289949817038162,0.8013564799954099,1.0315232616965315,1.7146525544320745,0.41978754576201316
1027_ESL,regression,488.0,4.0,2.6884198220027105,0.6020599913279624,0.00819672131147541,0.0,1.0,1.0,1.2862253534995944,0.2402076388428942,-0.2961174456324651,0.09150569299877676,0.5859627043501627
1028_SWD,regression,1000.0,10.0,3.0,1.0,0.01,0.0,1.0,1.0,0.7991123514117671,0.3900104578635052,0.01115972934112533,-1.3326494578727268,0.1265564942955178
1029_LEV,regression,1000.0,4.0,3.0,0.6020599913279624,0.004,0.0,1.0,1.0,1.3773839622202908,0.7080762385352696,0.02788024950006969,-1.1602654812370878,0.05117353779991657
1030_ERA,regression,1000.0,4.0,3.0,0.6020599913279624,0.004,0.0,1.0,1.0,4.13347631861601,0.6046072888251341,0.06604279453814854,-1.0985761475151885,0.07070400923192927
210_cloud,regression,108.0,5.0,2.03342375548695,0.6989700043360189,0.046296296296296294,0.0,1.0,1.0,1.1010158468909694,0.8256546726997248,0.8382412861429328,1.2420281267893043,0.2951496739347009
