dataset,RandomForest,GradientBoosting,SVM,kNN,NeuralNetwork
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,1.0,2.0,3.0,5.0,4.0
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,1.0,4.0,2.0,5.0,3.0
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,1.0,5.0,4.0,2.0,3.0
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,3.0,1.0,2.0,5.0,4.0
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,3.0,1.0,2.0,5.0,4.0
analcatdata_boxing1,3.0,1.0,4.0,5.0,2.0
analcatdata_boxing2,4.0,1.0,5.0,3.0,2.0
analcatdata_creditscore,1.0,2.0,5.0,4.0,3.0
analcatdata_dmft,5.0,2.0,1.0,4.0,3.0
analcatdata_germangss,3.0,1.0,5.0,4.0,2.0
balance_scale,5.0,3.0,2.0,4.0,1.0
calendarDOW,3.0,1.0,5.0,4.0,2.0
car_evaluation,3.0,2.0,4.0,5.0,1.0
cars,2.0,1.0,5.0,4.0,3.0
cloud,2.0,1.0,3.0,5.0,4.0
1027_ESL,5.0,4.0,3.0,2.0,1.0
1028_SWD,3.0,1.0,4.0,5.0,2.0
1029_LEV,4.0,3.0,1.0,5.0,2.0
1030_ERA,3.0,2.0,4.0,5.0,1.0
210_cloud,3.0,2.0,5.0,4.0,1.0
