dataset,best_algorithm
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,RandomForest
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,RandomForest
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,RandomForest
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,GradientBoosting
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,GradientBoosting
analcatdata_boxing1,GradientBoosting
analcatdata_boxing2,GradientBoosting
analcatdata_creditscore,RandomForest
analcatdata_dmft,SVM
analcatdata_germangss,GradientBoosting
balance_scale,NeuralNetwork
calendarDOW,GradientBoosting
car_evaluation,NeuralNetwork
cars,GradientBoosting
cloud,GradientBoosting
1027_ESL,NeuralNetwork
1028_SWD,GradientBoosting
1029_LEV,SVM
1030_ERA,NeuralNetwork
210_cloud,NeuralNetwork
