dataset,RandomForest,GradientBoosting,SVM,kNN,NeuralNetwork
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,1.0,0.9230769230769229,0.6249999999999991,0.0,0.2596153846153827
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,1.0,0.6712328767123287,0.767123287671232,0.0,0.6986301369863007
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,1.0,0.0,0.33999999999999986,0.8999999999999986,0.5400000000000027
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,0.6717171717171716,1.0,0.6868686868686873,0.0,0.5505050505050512
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,0.5987261146496823,1.0,0.7515923566878978,0.0,0.35031847133758
analcatdata_boxing1,0.5999999999999998,1.0,0.3499999999999991,0.0,0.8000000000000005
analcatdata_boxing2,0.5161290322580662,1.0,0.0,0.8516129032258061,0.8580645161290361
analcatdata_creditscore,1.0,0.8999999999999999,0.0,0.05000000000000006,0.5
analcatdata_dmft,0.0,0.9251370399373536,1.0,0.10007830853562882,0.3744714173844943
analcatdata_germangss,0.3026315789473685,1.0,0.0,0.07894736842105268,0.3289473684210527
balance_scale,0.0,0.25263157894736904,0.5473684210526318,0.06315789473684244,1.0
calendarDOW,0.4808231992516368,1.0,0.0,0.2591206735266604,0.6300280636108506
car_evaluation,0.7332261177227372,0.933547764554517,0.06690254100996709,0.0,1.0
cars,0.7000953591862679,1.0,0.0,0.13747616020343342,0.2253655435473619
cloud,0.400373599003736,1.0,0.2004981320049813,0.0,0.09589041095890401
1027_ESL,0.0,0.7984131433697295,0.860814444762213,0.9990878491289399,1.0
1028_SWD,0.46284697908531647,1.0,0.36174894820292697,0.0,0.572355409273911
1029_LEV,0.38697496273342435,0.9195527532139471,1.0,0.0,0.9624492573302457
1030_ERA,0.9107629677993099,0.9561686142669257,0.8802084176420304,0.0,1.0
210_cloud,0.8246045689123288,0.9672247237215327,0.0,0.4173824429870196,1.0
