dataset,RandomForest,GradientBoosting,SVM,kNN,NeuralNetwork
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,0.603125,0.598125,0.57875,0.5381250000000001,0.5549999999999999
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,0.690625,0.660625,0.6693749999999999,0.599375,0.663125
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,0.541875,0.510625,0.52125,0.53875,0.5275000000000001
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,0.631875,0.6725,0.63375,0.54875,0.6168750000000001
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,0.6481250000000001,0.6875,0.663125,0.589375,0.62375
analcatdata_boxing1,0.7583333333333333,0.825,0.7166666666666666,0.6583333333333334,0.7916666666666667
analcatdata_boxing2,0.6829059829059829,0.7042735042735042,0.6601139601139601,0.6977207977207976,0.6980056980056981
analcatdata_creditscore,0.99,0.97,0.79,0.8,0.89
analcatdata_dmft,0.1744182389937107,0.22085691823899373,0.22461477987421383,0.17944182389937108,0.19321540880503146
analcatdata_germangss,0.265,0.3975,0.20750000000000002,0.2225,0.27
balance_scale,0.8208,0.8592000000000001,0.9040000000000001,0.8304,0.9728
calendarDOW,0.6140189873417722,0.6491455696202533,0.5814873417721519,0.5990189873417722,0.6241139240506329
car_evaluation,0.9826321521320265,0.9878495434363742,0.9652777079668258,0.9635352266063499,0.9895802965569238
cars,0.9158390133073677,0.9770853618954884,0.772865952612788,0.8009412528399871,0.818889970788705
cloud,0.4536796536796537,0.8705627705627705,0.3147186147186147,0.17532467532467533,0.24199134199134198
1027_ESL,0.8250570245056081,0.8435035694333692,0.8449452896996827,0.8481399597613505,0.8481610341038305
1028_SWD,0.37954948674463374,0.413704168177378,0.37312120485135514,0.3501195282276957,0.38651254084963044
1029_LEV,0.5053938957747764,0.5338902537106438,0.5381947019627987,0.48468823127396987,0.5361854942507958
1030_ERA,0.3297974235178572,0.3361500162755081,0.3255226112611734,0.2023748079780688,0.3422823580705825
210_cloud,0.7805163634403652,0.8088190837880266,0.6168750285774799,0.6997038445866108,0.815323280057255
